StartDevice,StartPort,EndDevice,EndPort,BaudRate,FlowControl
bjw3-can-8220-1,1,bjw3-can-8220-leaf-1,1,9600,0
bjw3-can-8220-1,2,bjw3-can-8220-leaf-1,2,9600,0
bjw3-can-8220-2,1,bjw3-can-8220-2,1,9600,0
bjw3-can-8220-2,2,bjw3-can-8220-2,2,9600,0
bjw3-can-8220-3,1,bjw3-can-8220-3,1,9600,0
bjw3-can-8220-3,2,bjw3-can-8220-3,2,9600,0
bjw3-can-8220-4,1,bjw3-can-8220-leaf-2,1,9600,0
bjw3-can-8220-4,2,bjw3-can-8220-leaf-2,2,9600,0
bjw3-can-8220-5,1,bjw3-can-8220-5,1,9600,0
bjw3-can-8220-5,2,bjw3-can-8220-5,2,9600,0
bjw3-can-8220-6,1,bjw3-can-8220-6,1,9600,0
bjw3-can-8220-6,2,bjw3-can-8220-6,2,9600,0
bjw3-can-w5000-1,1,bjw3-can-w5000-leaf-1,1,9600,0
bjw3-can-w5000-1,2,bjw3-can-w5000-leaf-1,2,9600,0
bjw3-can-w5000-1,3,bjw3-can-w5000-leaf-1,3,9600,0
bjw3-can-w5000-1,4,bjw3-can-w5000-leaf-1,4,9600,0
bjw3-can-w5000-1,5,bjw3-can-w5000-leaf-1,5,9600,0
bjw3-can-w5000-1,6,bjw3-can-w5000-leaf-1,6,9600,0
bjw3-can-w5000-1,7,bjw3-can-w5000-leaf-1,7,9600,0
bjw3-can-w5000-1,8,bjw3-can-w5000-leaf-1,8,9600,0
bjw3-can-w5000-1,9,bjw3-can-w5000-leaf-1,9,9600,0
bjw3-can-w5000-1,10,bjw3-can-w5000-leaf-1,10,9600,0
bjw3-can-w5000-1,11,bjw3-can-w5000-leaf-1,11,9600,0
bjw3-can-w5000-1,12,bjw3-can-w5000-leaf-1,12,9600,0
bjw3-can-w5000-1,13,bjw3-can-w5000-leaf-1,13,9600,0
bjw3-can-w5000-1,14,bjw3-can-w5000-leaf-1,14,9600,0
bjw3-can-w5000-1,15,bjw3-can-w5000-leaf-1,15,9600,0
bjw3-can-w5000-1,16,bjw3-can-w5000-leaf-1,16,9600,0
bjw3-can-w5000-1,17,bjw3-can-w5000-leaf-1,17,9600,0
bjw3-can-w5000-1,18,bjw3-can-w5000-leaf-1,18,9600,0
bjw3-can-w5000-1,19,bjw3-can-w5000-leaf-1,19,9600,0
bjw3-can-w5000-1,20,bjw3-can-w5000-leaf-1,20,9600,0
bjw3-can-w5000-1,21,bjw3-can-w5000-leaf-1,21,9600,0
bjw3-can-w5000-1,22,bjw3-can-w5000-leaf-1,22,9600,0
bjw3-can-w5000-1,23,bjw3-can-w5000-leaf-1,23,9600,0
bjw3-can-w5000-1,24,bjw3-can-w5000-leaf-1,24,9600,0
bjw3-can-w5000-1,25,bjw3-can-w5000-leaf-1,25,9600,0
bjw3-can-w5000-1,26,bjw3-can-w5000-leaf-1,26,9600,0
bjw3-can-w5000-1,27,bjw3-can-w5000-leaf-1,27,9600,0
bjw3-can-w5000-1,28,bjw3-can-w5000-leaf-1,28,9600,0
bjw3-can-w5000-1,29,bjw3-can-w5000-leaf-1,29,9600,0
bjw3-can-w5000-1,30,bjw3-can-w5000-leaf-1,30,9600,0
bjw3-can-w5000-1,31,bjw3-can-w5000-leaf-1,31,9600,0
bjw3-can-w5000-1,32,bjw3-can-w5000-leaf-1,32,9600,0
bjw3-can-w5000-1,33,bjw3-can-w5000-leaf-1,33,9600,0
bjw3-can-w5000-1,34,bjw3-can-w5000-leaf-1,34,9600,0
bjw3-can-w5000-1,35,bjw3-can-w5000-leaf-1,35,9600,0
bjw3-can-w5000-1,36,bjw3-can-w5000-leaf-1,36,9600,0
bjw3-can-w5000-1,37,bjw3-can-w5000-leaf-1,37,9600,0
bjw3-can-w5000-1,38,bjw3-can-w5000-leaf-1,38,9600,0
bjw3-can-w5000-1,39,bjw3-can-w5000-leaf-1,39,9600,0
bjw3-can-w5000-1,40,bjw3-can-w5000-leaf-1,40,9600,0
bjw3-can-w5000-1,41,bjw3-can-w5000-leaf-1,41,9600,0
bjw3-can-w5000-1,42,bjw3-can-w5000-leaf-1,42,9600,0
bjw3-can-w5000-1,43,bjw3-can-w5000-leaf-1,43,9600,0
bjw3-can-w5000-1,44,bjw3-can-w5000-leaf-1,44,9600,0
bjw3-can-w5000-1,45,bjw3-can-w5000-leaf-1,45,9600,0
bjw3-can-w5000-1,46,bjw3-can-w5000-leaf-1,46,9600,0
bjw3-can-w5000-1,47,bjw3-can-w5000-leaf-1,47,9600,0
bjw3-can-w5000-1,48,bjw3-can-w5000-leaf-1,48,9600,0
bjw3-can-7215c1-1,1,bjw3-can-7215c1-leaf-1,1,9600,0
bjw3-can-7215c1-1,2,bjw3-can-7215c1-leaf-1,2,9600,0
bjw3-can-7215c1-2,1,bjw3-can-7215c1-2,1,9600,0
bjw3-can-7215c1-2,2,bjw3-can-7215c1-2,2,9600,0
bjw3-can-7215c1-3,1,bjw3-can-7215c1-leaf-1,3,9600,0
bjw3-can-7215c1-3,2,bjw3-can-7215c1-leaf-1,4,9600,0
bjw3-can-7215c1-4,1,bjw3-can-7215c1-leaf-1,5,9600,0
bjw3-can-7215c1-4,2,bjw3-can-7215c1-leaf-1,6,9600,0
bjw3-can-7215c1-5,1,bjw3-can-7215c1-5,1,9600,0
bjw3-can-7215c1-5,2,bjw3-can-7215c1-5,2,9600,0
bjw3-can-7215c1-6,1,bjw3-can-7215c1-6,1,9600,0
bjw3-can-7215c1-6,2,bjw3-can-7215c1-6,2,9600,0
