StartDevice,StartPort,EndDevice,Console_type,Console_menu_type,Proxy
STRTK5-0101-0300-01C0,3,strtk5a-7050cx3-01,ssh,,
STRTK5-0101-0300-01C0,4,strtk5a-7050cx3-02,ssh,,
STRTK5-0101-0300-01C0,5,strtk5a-7050cx3-03,ssh,,
STRTK5-0101-0300-01C0,6,strtk5a-7050cx3-04,ssh,,
STRTK5-0101-0300-01C0,7,strtk5a-7050cx3-05,ssh,,
STRTK5-0101-0300-01C0,8,strtk5a-7050cx3-06,ssh,,
STRTK5-0101-0300-01C0,9,strtk5a-7050cx3-07,ssh,,
STRTK5-0101-0300-01C0,10,strtk5a-7050cx3-08,ssh,,
STRTK5-0101-0300-01C0,11,strtk5a-7050cx3-09,ssh,,
STRTK5-0101-0300-01C0,12,strtk5a-7050cx3-10,ssh,,
STRTK5-0101-0300-01C0,13,strtk5a-7050cx3-11,ssh,,
STRTK5-0101-0300-01C0,14,strtk5a-7050cx3-12,ssh,,
STRTK5-0101-0300-02C0,12,strtk5a-7050qx-01,ssh,,
STRTK5-0101-0300-01C0,15,strtk5a-7260cx3-01,ssh,,
STRTK5-0101-0300-01C0,16,strtk5a-7260cx3-02,ssh,,
STRTK5-0101-0300-01C0,17,strtk5a-7260cx3-03,ssh,,
STRTK5-0101-0300-01C0,18,strtk5a-7260cx3-04,ssh,,
STRTK5-0101-0300-01C0,19,strtk5a-7260cx3-05,ssh,,
STRTK5-0101-0300-01C0,27,strtk5a-7260cx3-06,ssh,,
STRTK5-0101-0300-01C0,28,strtk5a-7260cx3-07,ssh,,
STRTK5-0101-0300-01C0,29,strtk5a-7260cx3-08,ssh,,
STRTK5-0101-0300-01C0,20,strtk5a-7260cx3-09,ssh,,
STRTK5-0101-0300-01C0,30,strtk5a-7260cx3-fan-01,ssh,,
STRTK5-0101-0300-01C0,31,strtk5a-7260cx3-fan-02,ssh,,
STRTK5-0101-0300-01C0,32,strtk5a-7260cx3-fan-03,ssh,,
STRTK5-0101-0300-01C0,33,strtk5a-7260cx3-fan-04,ssh,,
STRTK5-0101-0300-01C0,34,strtk5a-7260cx3-fan-05,ssh,,
STRTK5-0101-0300-01C0,35,strtk5a-7260cx3-fan-06,ssh,,
STRTK5-0101-0300-01C0,21,strtk5a-7260cx3-fan-07,ssh,,
STRTK5-0101-0300-01C0,22,strtk5a-7260cx3-fan-08,ssh,,
STRTK5-0101-0300-01C0,23,strtk5a-7260cx3-fan-09,ssh,,
STRTK5-0101-0300-01C0,24,strtk5a-7260cx3-fan-10,ssh,,
STRTK5-0101-0300-01C0,25,strtk5a-7260cx3-fan-11,ssh,,
STRTK5-0101-0300-01C0,36,strtk5a-7260cx3-fan-12,ssh,,
STRTK5-0101-0300-01C0,37,strtk5a-7260cx3-fan-13,ssh,,
STRTK5-0101-0300-01C0,38,strtk5a-7260cx3-fan-14,ssh,,
STRTK5-0101-0300-01C0,26,strtk5a-7260cx3-fan-15,ssh,,
STRTK5-0101-0300-01C0,39,strtk5a-7260cx3-fan-16,ssh,,
STRTK5-0101-0300-01C0,40,strtk5a-7260cx3-root,ssh,,

STRTK5-0101-0300-01C0,41,strtk5a-7050-03,ssh,,
STRTK5-0101-0300-01C0,42,strtk5a-7050-04,ssh,,
STRTK5-0101-0300-02C0,4,strtk5a-7050-05,ssh,,
STRTK5-0101-0300-02C0,5,strtk5a-7050-06,ssh,,
STRTK5-0101-0300-02C0,8,strtk5a-7050c-01,ssh,,
STRTK5-0101-0300-02C0,10,strtk5a-7050c-02,ssh,,
STRTK5-0101-0300-02C0,9,strtk5a-7050c-fan-01,ssh,,
STRTK5-0101-0300-02C0,11,strtk5a-7050c-fan-02,ssh,,
STRTK5-0101-0300-02C0,6,strtk5a-7260cx3-fan-17,ssh,,
STRTK5-0101-0300-02C0,7,strtk5a-7260cx3-fan-18,ssh,,
