Hostname,ManagementIp,HwSku,Type,Protocol,Os
strtk5a-7260cx3-root,10.213.192.103/26,Arista-7260CX3,FanoutRoot,,
strtk5a-7260cx3-fan-01,10.213.192.93/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-02,10.213.192.94/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-03,10.213.192.95/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-04,10.213.192.96/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-05,10.213.192.97/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-06,10.213.192.98/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-07,10.213.192.84/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-08,10.213.192.85/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-09,10.213.192.86/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-10,10.213.192.87/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-11,10.213.192.88/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-12,10.213.192.99/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-13,10.213.192.100/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-14,10.213.192.101/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-15,10.213.192.89/26,Arista-7260CX3,FanoutLeaf,,
strtk5a-7260cx3-fan-16,10.213.192.102/26,Arista-7260CX3,FanoutLeaf,,

strtk5a-7050cx3-01,10.213.192.66/26,Arista-7050CX3-32S-C32,DevSonic,,sonic
strtk5a-7050cx3-02,10.213.192.67/26,Arista-7050CX3-32S-C32,DevSonic,,sonic
strtk5a-7050cx3-03,10.213.192.68/26,Arista-7050CX3-32S-C32,DevSonic,,sonic
