StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode

strtk5a-7260cx3-root,Ethernet1/1,strtk5a-7260cx3-fan-01,Ethernet65,10000,100-163,Trunk
strtk5a-7260cx3-root,Ethernet2/1,strtk5a-7260cx3-fan-02,Ethernet65,10000,164-227,Trunk
strtk5a-7260cx3-root,Ethernet3/1,strtk5a-7260cx3-fan-03,Ethernet65,10000,228-291,Trunk
strtk5a-7260cx3-root,Ethernet4/1,strtk5a-7260cx3-fan-04,Ethernet65,10000,292-355,Trunk
strtk5a-7260cx3-root,Ethernet5/1,strtk5a-7260cx3-fan-05,Ethernet65,10000,356-419,Trunk
strtk5a-7260cx3-root,Ethernet6/1,strtk5a-7260cx3-fan-06,Ethernet65,10000,420-483,Trunk
strtk5a-7260cx3-root,Ethernet7/1,strtk5a-7260cx3-fan-07,Ethernet65,10000,484-603,Trunk
strtk5a-7260cx3-root,Ethernet8/1,strtk5a-7260cx3-fan-08,Ethernet65,10000,604-723,Trunk
strtk5a-7260cx3-root,Ethernet9/1,strtk5a-7260cx3-fan-09,Ethernet65,10000,724-843,Trunk
strtk5a-7260cx3-root,Ethernet10/1,strtk5a-7260cx3-fan-10,Ethernet65,10000,844-963,Trunk
strtk5a-7260cx3-root,Ethernet11/1,strtk5a-7260cx3-fan-11,Ethernet65,10000,964-1083,Trunk
strtk5a-7260cx3-root,Ethernet12/1,strtk5a-7260cx3-fan-12,Ethernet65,10000,1084-1147,Trunk
strtk5a-7260cx3-root,Ethernet13/1,strtk5a-7260cx3-fan-13,Ethernet65,10000,1148-1211,Trunk
strtk5a-7260cx3-root,Ethernet14/1,strtk5a-7260cx3-fan-14,Ethernet65,10000,1212-1275,Trunk
strtk5a-7260cx3-root,Ethernet15/1,strtk5a-7260cx3-fan-15,Ethernet65,10000,1276-1395,Trunk
strtk5a-7260cx3-root,Ethernet16/1,strtk5a-7260cx3-fan-16,Ethernet65,10000,1396-1430,Trunk

strtk5a-7260cx3-root,Ethernet17/1,strtk5a-7260cx3-fan-17,Ethernet65,10000,1460-1523,Trunk
strtk5a-7260cx3-root,Ethernet18/1,strtk5a-7260cx3-fan-18,Ethernet65,10000,1524-1587,Trunk
strtk5a-7260cx3-root,Ethernet19/1,strtk5a-7050c-fan-01,Ethernet128,10000,1588-1619,Trunk
strtk5a-7260cx3-root,Ethernet20/1,strtk5a-7050c-fan-02,Ethernet128,10000,1620-1651,Trunk
strtk5a-7260cx3-root,Ethernet50/1,strtk5a-serv-01,ens4f0,100000,,Trunk
strtk5a-7260cx3-root,Ethernet51/1,strtk5a-serv-02,ens4f0,100000,,Trunk
strtk5a-7050cx3-01,Ethernet0,strtk5a-7260cx3-fan-01,Ethernet1/1,100000,100,Access
strtk5a-7050cx3-01,Ethernet4,strtk5a-7260cx3-fan-01,Ethernet2/1,100000,101,Access
strtk5a-7050cx3-01,Ethernet8,strtk5a-7260cx3-fan-01,Ethernet3/1,100000,102,Access
strtk5a-7050cx3-01,Ethernet12,strtk5a-7260cx3-fan-01,Ethernet4/1,100000,103,Access
strtk5a-7050cx3-01,Ethernet16,strtk5a-7260cx3-fan-01,Ethernet5/1,100000,104,Access
strtk5a-7050cx3-01,Ethernet20,strtk5a-7260cx3-fan-01,Ethernet6/1,100000,105,Access
strtk5a-7050cx3-01,Ethernet24,strtk5a-7260cx3-fan-01,Ethernet7/1,100000,106,Access
strtk5a-7050cx3-01,Ethernet28,strtk5a-7260cx3-fan-01,Ethernet8/1,100000,107,Access
strtk5a-7050cx3-01,Ethernet32,strtk5a-7260cx3-fan-01,Ethernet9/1,100000,108,Access
strtk5a-7050cx3-01,Ethernet36,strtk5a-7260cx3-fan-01,Ethernet10/1,100000,109,Access
strtk5a-7050cx3-01,Ethernet40,strtk5a-7260cx3-fan-01,Ethernet11/1,100000,110,Access
strtk5a-7050cx3-01,Ethernet44,strtk5a-7260cx3-fan-01,Ethernet12/1,100000,111,Access
strtk5a-7050cx3-01,Ethernet48,strtk5a-7260cx3-fan-01,Ethernet13/1,100000,112,Access
strtk5a-7050cx3-01,Ethernet52,strtk5a-7260cx3-fan-01,Ethernet14/1,100000,113,Access
strtk5a-7050cx3-01,Ethernet56,strtk5a-7260cx3-fan-01,Ethernet15/1,100000,114,Access
strtk5a-7050cx3-01,Ethernet60,strtk5a-7260cx3-fan-01,Ethernet16/1,100000,115,Access
strtk5a-7050cx3-01,Ethernet64,strtk5a-7260cx3-fan-01,Ethernet17/1,100000,116,Access
strtk5a-7050cx3-01,Ethernet68,strtk5a-7260cx3-fan-01,Ethernet18/1,100000,117,Access
strtk5a-7050cx3-01,Ethernet72,strtk5a-7260cx3-fan-01,Ethernet19/1,100000,118,Access
strtk5a-7050cx3-01,Ethernet76,strtk5a-7260cx3-fan-01,Ethernet20/1,100000,119,Access
strtk5a-7050cx3-01,Ethernet80,strtk5a-7260cx3-fan-01,Ethernet21/1,100000,120,Access
strtk5a-7050cx3-01,Ethernet84,strtk5a-7260cx3-fan-01,Ethernet22/1,100000,121,Access
strtk5a-7050cx3-01,Ethernet88,strtk5a-7260cx3-fan-01,Ethernet23/1,100000,122,Access
strtk5a-7050cx3-01,Ethernet92,strtk5a-7260cx3-fan-01,Ethernet24/1,100000,123,Access
strtk5a-7050cx3-01,Ethernet96,strtk5a-7260cx3-fan-01,Ethernet25/1,100000,124,Access
strtk5a-7050cx3-01,Ethernet100,strtk5a-7260cx3-fan-01,Ethernet26/1,100000,125,Access
strtk5a-7050cx3-01,Ethernet104,strtk5a-7260cx3-fan-01,Ethernet27/1,100000,126,Access
strtk5a-7050cx3-01,Ethernet108,strtk5a-7260cx3-fan-01,Ethernet28/1,100000,127,Access
strtk5a-7050cx3-01,Ethernet112,strtk5a-7260cx3-fan-01,Ethernet29/1,100000,128,Access
strtk5a-7050cx3-01,Ethernet116,strtk5a-7260cx3-fan-01,Ethernet30/1,100000,129,Access
strtk5a-7050cx3-01,Ethernet120,strtk5a-7260cx3-fan-01,Ethernet31/1,100000,130,Access
strtk5a-7050cx3-01,Ethernet124,strtk5a-7260cx3-fan-01,Ethernet32/1,100000,131,Access
strtk5a-7050cx3-02,Ethernet0,strtk5a-7260cx3-fan-01,Ethernet33/1,100000,132,Access
strtk5a-7050cx3-02,Ethernet4,strtk5a-7260cx3-fan-01,Ethernet34/1,100000,133,Access
strtk5a-7050cx3-02,Ethernet8,strtk5a-7260cx3-fan-01,Ethernet35/1,100000,134,Access
strtk5a-7050cx3-02,Ethernet12,strtk5a-7260cx3-fan-01,Ethernet36/1,100000,135,Access
strtk5a-7050cx3-02,Ethernet16,strtk5a-7260cx3-fan-01,Ethernet37/1,100000,136,Access
strtk5a-7050cx3-02,Ethernet20,strtk5a-7260cx3-fan-01,Ethernet38/1,100000,137,Access
strtk5a-7050cx3-02,Ethernet24,strtk5a-7260cx3-fan-01,Ethernet39/1,100000,138,Access
strtk5a-7050cx3-02,Ethernet28,strtk5a-7260cx3-fan-01,Ethernet40/1,100000,139,Access
strtk5a-7050cx3-02,Ethernet32,strtk5a-7260cx3-fan-01,Ethernet41/1,100000,140,Access
strtk5a-7050cx3-02,Ethernet36,strtk5a-7260cx3-fan-01,Ethernet42/1,100000,141,Access
strtk5a-7050cx3-02,Ethernet40,strtk5a-7260cx3-fan-01,Ethernet43/1,100000,142,Access
strtk5a-7050cx3-02,Ethernet44,strtk5a-7260cx3-fan-01,Ethernet44/1,100000,143,Access
strtk5a-7050cx3-02,Ethernet48,strtk5a-7260cx3-fan-01,Ethernet45/1,100000,144,Access
strtk5a-7050cx3-02,Ethernet52,strtk5a-7260cx3-fan-01,Ethernet46/1,100000,145,Access
strtk5a-7050cx3-02,Ethernet56,strtk5a-7260cx3-fan-01,Ethernet47/1,100000,146,Access
strtk5a-7050cx3-02,Ethernet60,strtk5a-7260cx3-fan-01,Ethernet48/1,100000,147,Access
strtk5a-7050cx3-02,Ethernet64,strtk5a-7260cx3-fan-01,Ethernet49/1,100000,148,Access
strtk5a-7050cx3-02,Ethernet68,strtk5a-7260cx3-fan-01,Ethernet50/1,100000,149,Access
strtk5a-7050cx3-02,Ethernet72,strtk5a-7260cx3-fan-01,Ethernet51/1,100000,150,Access
strtk5a-7050cx3-02,Ethernet76,strtk5a-7260cx3-fan-01,Ethernet52/1,100000,151,Access
strtk5a-7050cx3-02,Ethernet80,strtk5a-7260cx3-fan-01,Ethernet53/1,100000,152,Access
strtk5a-7050cx3-02,Ethernet84,strtk5a-7260cx3-fan-01,Ethernet54/1,100000,153,Access
strtk5a-7050cx3-02,Ethernet88,strtk5a-7260cx3-fan-01,Ethernet55/1,100000,154,Access
