StartDevice,StartPort,EndDevice,EndPort
STRTK5-0300-PDU-01P9,8,strtk5a-7050cx3-01,PSU1
STRTK5-0300-PDU-01P9,9,strtk5a-7050cx3-01,PSU2
STRTK5-0300-PDU-01P9,21,strtk5a-7050cx3-02,PSU1
STRTK5-0300-PDU-01P9,22,strtk5a-7050cx3-02,PSU2
STRTK5-0300-PDU-01P9,23,strtk5a-7050cx3-03,PSU1
STRTK5-0300-PDU-01P9,24,strtk5a-7050cx3-03,PSU2
STRTK5-0300-PDU-01P9,27,strtk5a-7050cx3-04,PSU1
STRTK5-0300-PDU-01P9,28,strtk5a-7050cx3-04,PSU2
STRTK5-0300-PDU-01P9,35,strtk5a-7050cx3-05,PSU1
STRTK5-0300-PDU-01P9,36,strtk5a-7050cx3-05,PSU2
STRTK5-0300-PDU-01P9,17,strtk5a-7050cx3-06,PSU1
STRTK5-0300-PDU-01P9,18,strtk5a-7050cx3-06,PSU2
STRTK5-0300-PDU-01P10,1,strtk5a-7050cx3-07,PSU1
STRTK5-0300-PDU-01P10,2,strtk5a-7050cx3-07,PSU2
STRTK5-0300-PDU-01P10,5,strtk5a-7050cx3-08,PSU1
STRTK5-0300-PDU-01P10,6,strtk5a-7050cx3-08,PSU2
STRTK5-0300-PDU-01P10,7,strtk5a-7050cx3-09,PSU1
STRTK5-0300-PDU-01P10,8,strtk5a-7050cx3-09,PSU2
STRTK5-0300-PDU-01P10,15,strtk5a-7050cx3-10,PSU1
STRTK5-0300-PDU-01P10,16,strtk5a-7050cx3-10,PSU2
STRTK5-0300-PDU-01P10,17,strtk5a-7050cx3-11,PSU1
STRTK5-0300-PDU-01P10,18,strtk5a-7050cx3-11,PSU2
STRTK5-0300-PDU-01P10,21,strtk5a-7050cx3-12,PSU1
STRTK5-0300-PDU-01P10,22,strtk5a-7050cx3-12,PSU2
STRTK5-0300-PDU-01P10,27,strtk5a-7050qx-01,PSU1
STRTK5-0300-PDU-01P10,28,strtk5a-7050qx-01,PSU2
STRTK5-0300-PDU-01P10,23,strtk5a-7260cx3-01,PSU1
STRTK5-0300-PDU-01P10,24,strtk5a-7260cx3-01,PSU2
STRTK5-0300-PDU-01P11,4,strtk5a-7260cx3-02,PSU1
STRTK5-0300-PDU-01P11,5,strtk5a-7260cx3-02,PSU2
STRTK5-0300-PDU-01P11,8,strtk5a-7260cx3-03,PSU1
STRTK5-0300-PDU-01P11,9,strtk5a-7260cx3-03,PSU2
STRTK5-0300-PDU-01P11,12,strtk5a-7260cx3-04,PSU1
STRTK5-0300-PDU-01P11,13,strtk5a-7260cx3-04,PSU2
STRTK5-0300-PDU-01P11,21,strtk5a-7260cx3-05,PSU1
STRTK5-0300-PDU-01P11,22,strtk5a-7260cx3-05,PSU2
STRTK5-0300-PDU-01P11,25,strtk5a-7260cx3-06,PSU1
STRTK5-0300-PDU-01P11,26,strtk5a-7260cx3-06,PSU2
STRTK5-0300-PDU-01P12,3,strtk5a-7260cx3-07,PSU1
STRTK5-0300-PDU-01P12,4,strtk5a-7260cx3-07,PSU2
STRTK5-0300-PDU-01P12,7,strtk5a-7260cx3-08,PSU1
STRTK5-0300-PDU-01P12,8,strtk5a-7260cx3-08,PSU2
STRTK5-0300-PDU-01P12,19,strtk5a-7260cx3-09,PSU1
STRTK5-0300-PDU-01P12,20,strtk5a-7260cx3-09,PSU2
STRTK5-0300-PDU-01P9,19,strtk5a-7260cx3-fan-01,PSU1
STRTK5-0300-PDU-01P9,20,strtk5a-7260cx3-fan-01,PSU2
STRTK5-0300-PDU-01P9,25,strtk5a-7260cx3-fan-02,PSU1
STRTK5-0300-PDU-01P9,26,strtk5a-7260cx3-fan-02,PSU2
STRTK5-0300-PDU-01P9,15,strtk5a-7260cx3-fan-03,PSU1
STRTK5-0300-PDU-01P9,16,strtk5a-7260cx3-fan-03,PSU2
STRTK5-0300-PDU-01P10,3,strtk5a-7260cx3-fan-04,PSU1
STRTK5-0300-PDU-01P10,4,strtk5a-7260cx3-fan-04,PSU2
STRTK5-0300-PDU-01P10,9,strtk5a-7260cx3-fan-05,PSU1
STRTK5-0300-PDU-01P10,10,strtk5a-7260cx3-fan-05,PSU2
STRTK5-0300-PDU-01P10,19,strtk5a-7260cx3-fan-06,PSU1
STRTK5-0300-PDU-01P10,20,strtk5a-7260cx3-fan-06,PSU2
STRTK5-0300-PDU-01P10,25,strtk5a-7260cx3-fan-07,PSU1
STRTK5-0300-PDU-01P10,26,strtk5a-7260cx3-fan-07,PSU2
STRTK5-0300-PDU-01P11,6,strtk5a-7260cx3-fan-08,PSU1
STRTK5-0300-PDU-01P11,7,strtk5a-7260cx3-fan-08,PSU2
STRTK5-0300-PDU-01P11,10,strtk5a-7260cx3-fan-09,PSU1
STRTK5-0300-PDU-01P11,11,strtk5a-7260cx3-fan-09,PSU2
STRTK5-0300-PDU-01P11,19,strtk5a-7260cx3-fan-10,PSU1
STRTK5-0300-PDU-01P11,20,strtk5a-7260cx3-fan-10,PSU2
STRTK5-0300-PDU-01P11,23,strtk5a-7260cx3-fan-11,PSU1
STRTK5-0300-PDU-01P11,24,strtk5a-7260cx3-fan-11,PSU2
STRTK5-0300-PDU-01P11,27,strtk5a-7260cx3-fan-12,PSU1
STRTK5-0300-PDU-01P11,28,strtk5a-7260cx3-fan-12,PSU2
STRTK5-0300-PDU-01P12,5,strtk5a-7260cx3-fan-13,PSU1
STRTK5-0300-PDU-01P12,6,strtk5a-7260cx3-fan-13,PSU2
STRTK5-0300-PDU-01P12,9,strtk5a-7260cx3-fan-14,PSU1
STRTK5-0300-PDU-01P12,10,strtk5a-7260cx3-fan-14,PSU2
STRTK5-0300-PDU-01P12,21,strtk5a-7260cx3-fan-15,PSU1
STRTK5-0300-PDU-01P12,22,strtk5a-7260cx3-fan-15,PSU2
STRTK5-0300-PDU-01P10,29,strtk5a-7260cx3-fan-16,PSU1
STRTK5-0300-PDU-01P10,30,strtk5a-7260cx3-fan-16,PSU2
STRTK5-0300-PDU-01P12,1,strtk5a-7260cx3-root,PSU1
STRTK5-0300-PDU-01P12,2,strtk5a-7260cx3-root,PSU2
STRTK5-0300-PDU-01P15,1,strtk5a-7050-03,PSU1
STRTK5-0300-PDU-01P15,2,strtk5a-7050-03,PSU2
STRTK5-0300-PDU-01P15,5,strtk5a-7050-04,PSU1
STRTK5-0300-PDU-01P15,6,strtk5a-7050-04,PSU2
STRTK5-0300-PDU-01P15,7,strtk5a-7050-05,PSU1
STRTK5-0300-PDU-01P15,8,strtk5a-7050-05,PSU2
STRTK5-0300-PDU-01P15,25,strtk5a-7050-06,PSU1
STRTK5-0300-PDU-01P15,26,strtk5a-7050-06,PSU2
STRTK5-0300-PDU-01P15,27,strtk5a-7050c-01,PSU1
STRTK5-0300-PDU-01P15,28,strtk5a-7050c-01,PSU2
STRTK5-0300-PDU-01P15,31,strtk5a-7050c-02,PSU1
STRTK5-0300-PDU-01P15,32,strtk5a-7050c-02,PSU2
STRTK5-0300-PDU-01P15,29,strtk5a-7050c-fan-01,PSU1
STRTK5-0300-PDU-01P15,30,strtk5a-7050c-fan-01,PSU2
STRTK5-0300-PDU-01P15,33,strtk5a-7050c-fan-02,PSU1
